iter	Passed	Remaining
0	1	159
1	2	137
2	3	125
3	4	114
4	5	110
5	6	107
6	8	110
7	9	108
8	10	105
9	11	103
10	12	101
11	13	100
12	14	99
13	15	97
14	16	96
15	18	94
16	19	93
17	20	91
18	21	90
19	23	92
20	24	91
21	25	90
22	26	89
23	28	88
24	29	87
25	30	88
26	32	87
27	33	86
28	34	84
29	35	83
30	36	82
31	38	80
32	39	79
33	40	77
34	41	76
35	42	75
36	43	73
37	44	72
38	45	71
39	46	69
40	47	68
41	48	66
42	50	66
43	51	65
44	52	64
45	53	62
46	54	61
47	55	60
48	56	59
49	57	57
50	58	56
51	60	55
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	66	48
58	67	46
59	68	45
60	69	44
61	70	43
62	72	42
63	73	41
64	74	40
65	77	39
66	78	38
67	80	37
68	81	36
69	83	35
70	84	34
71	85	33
72	87	32
73	88	31
74	89	29
75	91	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	98	21
82	99	20
83	100	19
84	101	17
85	103	16
86	104	15
87	105	14
88	107	13
89	108	12
90	109	10
91	111	9
92	112	8
93	113	7
94	115	6
95	116	4
96	118	3
97	119	2
98	121	1
99	123	0
