iter	Passed	Remaining
0	159	159254
1	161	80554
2	163	54241
3	169	42186
4	171	34201
5	173	28772
6	175	24952
7	178	22072
8	179	19791
9	185	18378
10	187	16888
11	189	15619
12	192	14617
13	194	13702
14	196	12921
15	198	12198
16	199	11549
17	200	10965
18	202	10449
19	204	10001
20	209	9745
21	210	9379
22	213	9051
23	214	8732
24	216	8436
25	218	8179
26	224	8106
27	227	7891
28	229	7668
29	231	7470
30	233	7285
31	236	7159
32	238	6977
33	239	6808
34	242	6695
35	244	6544
36	245	6397
37	247	6259
38	248	6129
39	250	6001
40	251	5884
41	253	5773
42	256	5709
43	257	5604
44	259	5503
45	260	5405
46	261	5308
47	263	5221
48	264	5136
49	267	5089
50	269	5022
51	271	4943
52	272	4868
53	273	4797
54	275	4729
55	276	4663
56	277	4598
57	280	4562
58	282	4504
59	283	4445
60	285	4388
61	286	4331
62	287	4281
63	289	4231
64	290	4180
65	292	4138
66	293	4093
67	295	4046
68	296	4002
69	298	3966
70	300	3926
71	301	3885
72	302	3844
73	303	3803
74	307	3793
75	309	3757
76	310	3721
77	311	3685
78	314	3668
79	316	3634
80	317	3598
81	318	3563
82	319	3530
83	320	3499
84	322	3469
85	324	3445
86	336	3528
87	343	3558
88	352	3603
89	355	3596
90	359	3593
91	366	3614
92	368	3590
93	369	3562
94	370	3533
95	372	3507
96	373	3479
97	374	3451
98	379	3450
99	380	3424
100	381	3399
101	383	3372
102	384	3349
103	385	3325
104	387	3300
105	388	3276
106	392	3276
107	394	3257
108	395	3235
109	398	3222
110	399	3201
111	401	3181
112	402	3160
113	406	3158
114	408	3140
115	409	3120
116	410	3099
117	412	3080
118	413	3061
119	414	3041
120	416	3022
121	417	3001
122	420	2998
123	421	2979
124	423	2961
125	424	2944
126	425	2924
127	426	2907
128	428	2893
129	429	2876
130	431	2859
131	432	2847
132	434	2833
133	436	2820
134	439	2816
135	441	2804
136	445	2807
137	448	2799
138	449	2785
139	451	2773
140	453	2760
141	454	2745
142	459	2752
143	461	2743
144	463	2731
145	464	2719
146	466	2707
147	468	2695
148	472	2701
149	475	2694
150	478	2692
151	482	2691
152	488	2705
153	491	2697
154	493	2690
155	495	2679
156	497	2670
157	500	2666
158	502	2658
159	505	2656
160	506	2641
161	508	2630
162	510	2622
163	512	2611
164	513	2599
165	515	2587
166	516	2577
167	519	2570
168	520	2559
169	522	2549
170	523	2540
171	525	2530
172	527	2520
173	529	2512
174	530	2502
175	537	2514
176	538	2505
177	540	2495
178	542	2486
179	543	2477
180	545	2466
181	548	2463
182	549	2454
183	551	2446
184	553	2436
185	555	2429
186	558	2426
187	562	2429
188	564	2424
189	570	2432
190	572	2423
191	575	2421
192	576	2412
193	578	2402
194	579	2393
195	581	2383
196	583	2377
197	584	2368
198	586	2360
199	588	2354
200	590	2345
201	591	2336
202	592	2326
203	593	2316
204	595	2308
205	596	2300
206	598	2292
207	599	2284
208	602	2281
209	604	2273
210	605	2265
211	607	2257
212	608	2250
213	610	2241
214	611	2233
215	612	2224
216	615	2222
217	617	2213
218	618	2205
219	619	2197
220	621	2189
221	622	2180
222	623	2173
223	625	2166
224	627	2159
225	629	2154
226	630	2147
227	631	2139
228	633	2133
229	635	2126
230	636	2118
231	637	2111
232	639	2103
233	643	2105
234	644	2098
235	646	2093
236	648	2086
237	649	2079
238	651	2072
239	652	2065
240	653	2058
241	656	2055
242	658	2050
243	660	2047
244	661	2039
245	663	2032
246	664	2025
247	668	2025
248	670	2022
249	673	2020
250	675	2014
251	676	2008
252	678	2003
253	685	2013
254	687	2009
255	689	2003
256	691	1998
257	692	1992
258	694	1985
259	697	1985
260	699	1979
261	700	1973
262	702	1967
263	703	1960
264	704	1954
265	706	1948
266	707	1942
267	711	1942
268	712	1936
269	713	1930
270	715	1924
271	716	1917
272	717	1911
273	719	1905
274	720	1899
275	721	1893
276	724	1890
277	725	1885
278	727	1879
279	728	1874
280	730	1869
281	731	1863
282	733	1857
283	735	1853
284	738	1852
285	740	1847
286	742	1843
287	743	1837
288	745	1832
289	746	1827
290	747	1822
291	751	1821
292	752	1816
293	754	1811
294	755	1806
295	757	1801
296	758	1795
297	759	1790
298	761	1785
299	766	1787
300	767	1782
301	769	1778
302	771	1773
303	772	1769
304	775	1766
305	779	1767
306	780	1762
307	782	1757
308	783	1752
309	785	1747
310	786	1742
311	788	1738
312	789	1733
313	793	1732
314	794	1728
315	796	1723
316	797	1719
317	799	1714
318	801	1710
319	803	1707
320	807	1708
321	809	1704
322	810	1699
323	812	1694
324	814	1691
325	815	1686
326	817	1682
327	821	1683
328	823	1679
329	825	1675
330	827	1672
331	829	1668
332	830	1664
333	834	1663
334	836	1659
335	837	1655
336	839	1651
337	841	1647
338	843	1644
339	846	1642
340	848	1639
341	851	1639
342	853	1635
343	855	1631
344	856	1626
345	858	1622
346	862	1623
347	863	1618
348	865	1614
349	867	1610
350	868	1606
351	870	1602
352	878	1610
353	881	1609
354	883	1605
355	885	1601
356	887	1598
357	889	1594
358	891	1591
359	893	1587
360	894	1583
361	896	1580
362	898	1576
363	903	1578
364	905	1574
365	906	1571
366	908	1567
367	910	1563
368	911	1559
369	913	1554
370	918	1557
371	922	1556
372	923	1552
373	925	1548
374	926	1544
375	927	1540
376	929	1536
377	930	1531
378	932	1527
379	933	1523
380	935	1519
381	937	1516
382	938	1512
383	943	1512
384	944	1509
385	946	1505
386	947	1501
387	949	1497
388	951	1493
389	952	1489
390	956	1490
391	958	1486
392	959	1482
393	961	1479
394	963	1475
395	964	1471
396	966	1468
397	968	1464
398	969	1460
399	971	1457
400	973	1453
401	974	1449
402	976	1446
403	977	1442
404	979	1439
405	981	1436
406	983	1433
407	985	1430
408	987	1427
409	993	1429
410	996	1428
411	999	1425
412	1001	1422
413	1016	1438
414	1018	1436
415	1023	1437
416	1028	1438
417	1030	1434
418	1031	1430
419	1033	1427
420	1037	1426
421	1038	1422
422	1040	1419
423	1042	1415
424	1044	1413
425	1046	1410
426	1051	1410
427	1052	1407
428	1054	1402
429	1055	1399
430	1057	1395
431	1058	1391
432	1060	1388
433	1061	1384
434	1066	1384
435	1067	1381
436	1069	1377
437	1070	1373
438	1072	1370
439	1074	1367
440	1075	1363
441	1079	1362
442	1080	1358
443	1082	1355
444	1083	1351
445	1085	1348
446	1087	1345
447	1089	1341
448	1091	1339
449	1094	1337
450	1097	1335
451	1098	1332
452	1100	1328
453	1101	1325
454	1103	1321
455	1108	1321
456	1109	1318
457	1111	1315
458	1113	1312
459	1114	1308
460	1116	1305
461	1119	1303
462	1121	1300
463	1122	1296
464	1124	1293
465	1125	1290
466	1127	1286
467	1128	1283
468	1130	1279
469	1135	1280
470	1136	1276
471	1138	1273
472	1139	1269
473	1140	1266
474	1142	1262
475	1143	1259
476	1145	1255
477	1148	1254
478	1151	1252
479	1152	1248
480	1154	1245
481	1155	1242
482	1157	1238
483	1158	1235
484	1163	1235
485	1165	1233
486	1167	1229
487	1169	1226
488	1170	1223
489	1172	1220
490	1176	1219
491	1178	1216
492	1180	1213
493	1182	1210
494	1184	1208
495	1188	1207
496	1190	1204
497	1192	1201
498	1193	1198
499	1195	1195
500	1199	1194
501	1221	1211
502	1222	1208
503	1247	1227
504	1249	1224
505	1251	1221
506	1252	1218
507	1255	1215
508	1256	1212
509	1257	1208
510	1262	1208
511	1263	1204
512	1267	1202
513	1268	1199
